Partlist

Exported from ARM_board.brd at 9/30/2013 8:46:43 PM

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part      Value          Package            Library       Position (inch)       Orientation

U$7       SI7617         POWERPAK1212-8     r_cubed       (3.214 0.307)         R90
U$8       SI7617         POWERPAK1212-8     r_cubed       (3.8605 2.4235)       R0
U$9       SI7617         POWERPAK1212-8     r_cubed       (3.6995 2.424)        R180
U$10      BAV99          SOT-23             Parts         (2.247 0.977)         R90
U$11      BAV99          SOT-23             Parts         (2.058 0.975)         R90
U$12      STL85N6F3      POWERFLAT5X6       r_cubed       (3.583 0.567)         R0
U2        RT7259         WDFN-14L           r_cubed       (3.376 0.46)          R0
U3        NC7SZU04       SC70               SparkFun      (3.68 3.043)          R0
U6        USBLC6-2       SOT23-6L           new_parts     (2.677 2.502)         R180
U8        USBLC6-2       SOT23-6L           new_parts     (3.326 2.722)         R270
USB1      USB-A-S        USB-A-S            con-usb-2     (2.604 2.793)         R270
USB2      USB-MINIB-5PIN USB-MINIB          SparkFun      (3.167 2.965)         R270
XB1       XBEE           XBEE               maxstream     (1.57 0.477)          R0
Y2        8MHz           HC49UP             SparkFun      (0.908 2.205)         R0
